snake,trialBlock,orderInTrial,snakeName,soundToPlay,roomSideSoundPlayed,dayNumber,tongueFlickCount,freezeBehaviourCount,headJerkCount,cautionaryExplorationBehaviour,timeOfDay,headDirectionWhenLiftedHutch,headMovementLeftDirection,headMovementRightDirection,headMovementTowardSpeaker,headMovementAwayFromSpeaker,headMovementDistanceTotal,Notes,Fixation behaviour?,hissesNumber,lowerJawDrop,parascoping,secondsOfTrial
17,0,1,Elapid Boy,0,0,1,,,,,,,,,,,,"No filming or data collection for any of the familiarisation trials. Trials done at 27C. Snakes given 30s settling in hutch (once half-door closed), then 4.5 add'l minutes of time outside hutch to freely explore. H264 codec. 90s is 260MB using this format. ",,,,,300
14,0,2,Lumpy,0,0,1,,,,,,,,,,,,"No filming or data collection for any of the familiarisation trials. Trials done at 27C. Snakes given 30s settling in hutch (once half-door closed), then 4.5 add'l minutes of time outside hutch to freely explore. H264 codec. 90s is 260MB using this format. ",,,,,300
4,0,3,Lower Jaw,0,0,1,,,,,,,,,,,,"No filming or data collection for any of the familiarisation trials. Trials done at 27C. Snakes given 30s settling in hutch (once half-door closed), then 4.5 add'l minutes of time outside hutch to freely explore. H264 codec. 90s is 260MB using this format. ",,,,,300
10,0,4,Briggs,0,0,1,,,,,,,,,,,,"No filming or data collection for any of the familiarisation trials. Trials done at 27C. Snakes given 30s settling in hutch (once half-door closed), then 4.5 add'l minutes of time outside hutch to freely explore. H264 codec. 90s is 260MB using this format. ",,,,,300
6,0,5,Upgrade,0,0,1,,,,,,,,,,,,"No filming or data collection for any of the familiarisation trials. Trials done at 27C. Snakes given 30s settling in hutch (once half-door closed), then 4.5 add'l minutes of time outside hutch to freely explore. H264 codec. 90s is 260MB using this format. ",,,,,300
11,0,6,Glory,0,0,1,,,,,,,,,,,,"No filming or data collection for any of the familiarisation trials. Trials done at 27C. Snakes given 30s settling in hutch (once half-door closed), then 4.5 add'l minutes of time outside hutch to freely explore. H264 codec. 90s is 260MB using this format. ",,,,,300
16,0,7,Dorsal Girl,0,0,1,,,,,,,,,,,,"No filming or data collection for any of the familiarisation trials. Trials done at 27C. Snakes given 30s settling in hutch (once half-door closed), then 4.5 add'l minutes of time outside hutch to freely explore. H264 codec. 90s is 260MB using this format. ",,,,,300
9,0,8,Perth Girl,0,0,1,,,,,,,,,,,,"No filming or data collection for any of the familiarisation trials. Trials done at 27C. Snakes given 30s settling in hutch (once half-door closed), then 4.5 add'l minutes of time outside hutch to freely explore. H264 codec. 90s is 260MB using this format. ",,,,,300
1,0,9,Squishy,0,0,1,,,,,,,,,,,,"No filming or data collection for any of the familiarisation trials. Trials done at 27C. Snakes given 30s settling in hutch (once half-door closed), then 4.5 add'l minutes of time outside hutch to freely explore. H264 codec. 90s is 260MB using this format. ",,,,,300
7,0,10,El Diablo,0,0,1,,,,,,,,,,,,"No filming or data collection for any of the familiarisation trials. Trials done at 27C. Snakes given 30s settling in hutch (once half-door closed), then 4.5 add'l minutes of time outside hutch to freely explore. H264 codec. 90s is 260MB using this format. ",,,,,300
8,0,11,Mr Naughty,0,0,1,,,,,,,,,,,,"No filming or data collection for any of the familiarisation trials. Trials done at 27C. Snakes given 30s settling in hutch (once half-door closed), then 4.5 add'l minutes of time outside hutch to freely explore. H264 codec. 90s is 260MB using this format. ",,,,,300
2,0,12,Boss,0,0,1,,,,,,,,,,,,"No filming or data collection for any of the familiarisation trials. Trials done at 27C. Snakes given 30s settling in hutch (once half-door closed), then 4.5 add'l minutes of time outside hutch to freely explore. H264 codec. 90s is 260MB using this format. ",,,,,300
5,0,13,Mawa,0,0,1,,,,,,,,,,,,"No filming or data collection for any of the familiarisation trials. Trials done at 27C. Snakes given 30s settling in hutch (once half-door closed), then 4.5 add'l minutes of time outside hutch to freely explore. H264 codec. 90s is 260MB using this format. ",,,,,300
12,0,14,Dull Sister,0,0,1,,,,,,,,,,,,"No filming or data collection for any of the familiarisation trials. Trials done at 27C. Snakes given 30s settling in hutch (once half-door closed), then 4.5 add'l minutes of time outside hutch to freely explore. H264 codec. 90s is 260MB using this format. ",,,,,300
3,0,15,Fibonacci,0,0,1,,,,,,,,,,,,"No filming or data collection for any of the familiarisation trials. Trials done at 27C. Snakes given 30s settling in hutch (once half-door closed), then 4.5 add'l minutes of time outside hutch to freely explore. H264 codec. 90s is 260MB using this format. ",,,,,300
