index;x;y;z
0;-0.005966;-0.015900;-0.991516
1;-0.003616;-0.015442;-1.002075
2;-0.004410;-0.016876;-0.990692
3;-0.003860;-0.017044;-0.994431
4;-0.004654;-0.015976;-0.995865
5;-0.005005;-0.015594;-0.992111
6;-0.004578;-0.015976;-0.991638
7;-0.005188;-0.016266;-0.994644
8;-0.005219;-0.015106;-0.994186
9;-0.006439;-0.016068;-0.996017
10;-0.004028;-0.016296;-0.998108
11;-0.006805;-0.016495;-0.988159
12;-0.003952;-0.016556;-0.996277
13;-0.004669;-0.016708;-0.994843
14;-0.005707;-0.015976;-0.990860
15;-0.004364;-0.015594;-0.997559
16;-0.004669;-0.015488;-0.993423
17;-0.005127;-0.016449;-0.992813
18;-0.004868;-0.015976;-0.994995
19;-0.003403;-0.016220;-0.996719
20;-0.004852;-0.017014;-0.994080
21;-0.005554;-0.016739;-0.988495
22;-0.004578;-0.015610;-0.993912
23;-0.005249;-0.015778;-1.000183
24;-0.004700;-0.015884;-0.995819
25;-0.005386;-0.016068;-0.990128
26;-0.004547;-0.015106;-0.998306
27;-0.004807;-0.016800;-0.994308
28;-0.005707;-0.016525;-0.998840
29;-0.003799;-0.016159;-0.995926
30;-0.004654;-0.017075;-0.992767
31;-0.004700;-0.015732;-0.992859
32;-0.005127;-0.014877;-0.995941
33;-0.004517;-0.016495;-0.991257
34;-0.004684;-0.015869;-0.996414
35;-0.004639;-0.015900;-0.994324
36;-0.004547;-0.015060;-0.993866
37;-0.004745;-0.016388;-0.988953
38;-0.004822;-0.016617;-0.996765
39;-0.005127;-0.016144;-0.996735
40;-0.004333;-0.015945;-0.993744
41;-0.005722;-0.017044;-0.988220
42;-0.005310;-0.016357;-0.996292
43;-0.005463;-0.015884;-0.994186
44;-0.004929;-0.016006;-0.991486
45;-0.004593;-0.016373;-0.994476
46;-0.004562;-0.016876;-0.994003
47;-0.005142;-0.016617;-0.996048
48;-0.003723;-0.015884;-1.001038
49;-0.006378;-0.016998;-0.993027
50;-0.004608;-0.016876;-0.998962
51;-0.005798;-0.016373;-0.989792
52;-0.005066;-0.016815;-0.992035
53;-0.005157;-0.015823;-0.994614
54;-0.005081;-0.016769;-0.986298
55;-0.003555;-0.015961;-0.998413
56;-0.006424;-0.015976;-0.993576
57;-0.005142;-0.015579;-0.996674
58;-0.005646;-0.016510;-0.989853
59;-0.005081;-0.016083;-0.996155
60;-0.006363;-0.016571;-0.989822
61;-0.005142;-0.015869;-0.998672
62;-0.004730;-0.015549;-0.997650
63;-0.004196;-0.016464;-0.999023
64;-0.005356;-0.016281;-0.998230
65;-0.005371;-0.016541;-0.995590
66;-0.005432;-0.015167;-0.988815
67;-0.006012;-0.016052;-0.992661
68;-0.004883;-0.015854;-0.998199
69;-0.004547;-0.016449;-0.993958
70;-0.005722;-0.015640;-0.997971
71;-0.004776;-0.015930;-0.995911
72;-0.006058;-0.016953;-0.994263
73;-0.005447;-0.015427;-0.997986
74;-0.005432;-0.015686;-0.997086
75;-0.005112;-0.016769;-0.992584
76;-0.004395;-0.016663;-1.000870
77;-0.005066;-0.015060;-0.999847
78;-0.004913;-0.015930;-0.992676
79;-0.004257;-0.016830;-0.999619
80;-0.004242;-0.015503;-1.002518
81;-0.003540;-0.017197;-0.998886
82;-0.005142;-0.016449;-0.986191
83;-0.005890;-0.015808;-0.988846
84;-0.003738;-0.015808;-0.996460
85;-0.003891;-0.015442;-0.996567
86;-0.004791;-0.016022;-0.993927
87;-0.006073;-0.016129;-0.992096
88;-0.004501;-0.016251;-0.994766
89;-0.005112;-0.017014;-0.992386
90;-0.005157;-0.016769;-0.988815
91;-0.003983;-0.015625;-0.995880
92;-0.005295;-0.016708;-0.990753
93;-0.004074;-0.016769;-0.994141
94;-0.004715;-0.016205;-0.998993
95;-0.005417;-0.015411;-0.995575
96;-0.004517;-0.015472;-1.000244
97;-0.003769;-0.015030;-0.996948
98;-0.004776;-0.014877;-0.997940
99;-0.005066;-0.017075;-0.992203
100;-0.005783;-0.016220;-0.990860
101;-0.005707;-0.015793;-0.991211
102;-0.004074;-0.016449;-0.994278
103;-0.004913;-0.017166;-0.999268
104;-0.003815;-0.015961;-0.991562
105;-0.006409;-0.016785;-0.990372
106;-0.004333;-0.015564;-0.997879
107;-0.005081;-0.016190;-0.996307
108;-0.005646;-0.016968;-0.999161
109;-0.004288;-0.015594;-1.001495
110;-0.004410;-0.015579;-0.988846
111;-0.004639;-0.016205;-0.997025
112;-0.005310;-0.015839;-0.990723
113;-0.005234;-0.015335;-0.995285
114;-0.005569;-0.016708;-0.994141
115;-0.006531;-0.016388;-0.991165
116;-0.006302;-0.016418;-0.997238
117;-0.005646;-0.016342;-0.997116
118;-0.003815;-0.016891;-0.992538
119;-0.004730;-0.016846;-0.992783
120;-0.004456;-0.016708;-0.996979
121;-0.005722;-0.016388;-0.991653
122;-0.005112;-0.016968;-0.994125
123;-0.005356;-0.016113;-0.995087
124;-0.005020;-0.015930;-0.993256
125;-0.003998;-0.016022;-0.993652
126;-0.005173;-0.016998;-0.994888
127;-0.004684;-0.016403;-0.995590
128;-0.004959;-0.016571;-0.996933
129;-0.004929;-0.016006;-0.990555
130;-0.005966;-0.017151;-0.985031
131;-0.006195;-0.016190;-0.996368
132;-0.005539;-0.015137;-0.997330
133;-0.003891;-0.016922;-0.996765
134;-0.006332;-0.016693;-0.990768
135;-0.003754;-0.016251;-1.001877
136;-0.005630;-0.016693;-0.992172
137;-0.005280;-0.015884;-0.994446
138;-0.006516;-0.015930;-0.992493
139;-0.004822;-0.015945;-1.003738
140;-0.004547;-0.015839;-0.997498
141;-0.005356;-0.016632;-0.993988
142;-0.005234;-0.016449;-0.995544
143;-0.005219;-0.015976;-0.994308
144;-0.005081;-0.016678;-0.994644
145;-0.006332;-0.016022;-0.995255
146;-0.004654;-0.016220;-1.000626
147;-0.004608;-0.016403;-0.990295
148;-0.005051;-0.017349;-0.995758
149;-0.005707;-0.016083;-0.997650
150;-0.004944;-0.017548;-0.994293
151;-0.005554;-0.017197;-0.995819
152;-0.004272;-0.015594;-0.997345
153;-0.005264;-0.017242;-0.993149
