index;x;y;z
0;0.003586;-0.021881;-1.003723
1;0.003387;-0.023468;-0.994141
2;0.003860;-0.022156;-0.988022
3;0.002914;-0.022476;-0.996796
4;0.003723;-0.022354;-0.997101
5;0.003159;-0.021729;-0.999176
6;0.003372;-0.021683;-0.996811
7;0.003265;-0.023376;-0.998856
8;0.002930;-0.022369;-1.000748
9;0.002380;-0.022507;-0.997025
10;0.004059;-0.022339;-0.989655
11;0.001343;-0.021713;-0.996735
12;0.004120;-0.022995;-0.991150
13;0.002380;-0.022263;-0.994644
14;0.003342;-0.022858;-0.993530
15;0.004044;-0.022018;-0.995438
16;0.003754;-0.022781;-0.999359
17;0.003296;-0.022491;-0.991913
18;0.003159;-0.022049;-0.997604
19;0.003098;-0.021439;-0.996811
20;0.002365;-0.020844;-1.001785
21;0.001129;-0.022507;-0.994156
22;0.002090;-0.020798;-0.999252
23;0.002319;-0.021500;-0.994385
24;0.003143;-0.022125;-0.993713
25;0.002838;-0.022247;-0.989700
26;0.003235;-0.022934;-0.997025
27;0.002457;-0.021805;-0.996338
28;0.003647;-0.022858;-0.996216
29;0.003464;-0.023636;-1.002487
30;0.003250;-0.021317;-0.996292
31;0.003021;-0.020950;-0.993698
32;0.002243;-0.021744;-0.996292
33;0.003815;-0.022873;-0.988373
34;0.003876;-0.021042;-0.992416
35;0.001648;-0.021194;-0.994049
36;0.002289;-0.020676;-0.993240
37;0.003311;-0.021881;-0.992813
38;0.002594;-0.021530;-0.989731
39;0.001587;-0.021332;-0.991074
40;0.003799;-0.022308;-0.996124
41;0.003281;-0.022186;-0.993744
42;0.004150;-0.021469;-0.992447
43;0.003616;-0.023315;-0.992798
44;0.004425;-0.022766;-1.003082
45;0.002747;-0.022171;-1.000870
46;0.002014;-0.022156;-0.993317
47;0.003540;-0.021454;-0.990936
48;0.002304;-0.022202;-0.997910
49;0.003281;-0.022003;-0.999359
50;0.001877;-0.020844;-1.003265
51;0.003662;-0.021606;-0.993958
52;0.001190;-0.022614;-0.999146
53;0.002182;-0.022324;-0.997147
54;0.003860;-0.022568;-0.996368
55;0.003052;-0.023605;-0.994812
56;0.003830;-0.022522;-0.993713
57;0.002686;-0.021957;-0.997055
58;0.003021;-0.021469;-0.987930
59;0.004272;-0.020615;-0.992615
60;0.003586;-0.021942;-1.000443
61;0.003830;-0.023224;-0.999054
62;0.003250;-0.022491;-0.997665
63;0.002426;-0.021362;-0.998123
64;0.003159;-0.020599;-0.992783
65;0.002609;-0.020432;-0.993668
66;0.003174;-0.023392;-0.991440
67;0.002319;-0.021912;-0.998734
68;0.002899;-0.021332;-0.999268
69;0.004028;-0.021912;-0.989761
70;0.003952;-0.021774;-0.993988
71;0.002151;-0.021820;-1.006165
72;0.003235;-0.022217;-0.995911
73;0.002625;-0.022583;-0.994461
74;0.004471;-0.021927;-0.995895
75;0.003616;-0.021469;-0.994553
76;0.003403;-0.022751;-0.988892
77;0.003555;-0.021759;-0.989471
78;0.002731;-0.021042;-0.995438
79;0.002625;-0.020264;-0.993118
80;0.003662;-0.021149;-0.995514
81;0.003021;-0.021698;-0.993179
82;0.003326;-0.022141;-0.996780
83;0.003174;-0.022461;-0.994827
84;0.002594;-0.021255;-0.998184
85;0.001129;-0.020996;-0.996002
86;0.002762;-0.021255;-0.995499
87;0.003754;-0.021423;-0.993576
88;0.003983;-0.021500;-0.998795
89;0.003082;-0.023285;-0.995651
90;0.003220;-0.023376;-0.997681
91;0.003296;-0.022415;-0.991150
92;0.003326;-0.022797;-0.985413
93;0.003769;-0.021759;-0.989670
94;0.002792;-0.022003;-0.997345
95;0.001831;-0.021652;-0.998718
96;0.004517;-0.021225;-0.992661
97;0.000488;-0.021286;-0.995087
98;0.003876;-0.022720;-0.989014
99;0.003586;-0.022583;-0.999115
100;0.003036;-0.022232;-0.990875
101;0.003555;-0.021240;-1.003265
102;0.001892;-0.022568;-0.997482
103;0.003189;-0.022369;-0.991409
104;0.003250;-0.021469;-0.994202
105;0.002518;-0.022049;-0.997940
106;0.002975;-0.021286;-0.993011
107;0.003510;-0.021805;-0.990448
108;0.003220;-0.021439;-0.999649
109;0.003403;-0.021439;-0.997925
110;0.003296;-0.020737;-0.994370
