index;x;y;z
0;-0.005295;-0.017395;-0.976028
1;-0.003189;-0.017914;-0.986496
2;-0.002197;-0.019501;-0.992264
3;-0.001740;-0.019562;-0.995422
4;-0.001816;-0.019424;-0.998245
5;-0.001846;-0.019775;-0.992477
6;-0.002136;-0.019135;-0.995636
7;-0.002045;-0.019058;-0.996674
8;-0.001221;-0.019440;-0.996536
9;-0.001556;-0.019669;-0.994202
10;-0.001877;-0.019089;-0.996628
11;-0.000977;-0.019363;-0.993790
12;-0.001907;-0.019577;-0.995407
13;-0.001984;-0.019058;-0.994980
14;-0.002060;-0.019974;-0.994675
15;-0.002213;-0.018539;-0.993118
16;-0.002136;-0.019043;-0.994690
17;-0.001175;-0.018463;-0.996658
18;-0.001312;-0.019287;-0.995850
19;-0.002121;-0.018829;-0.995209
20;-0.001694;-0.019653;-0.995102
21;-0.001770;-0.019669;-0.997589
22;-0.002167;-0.020416;-0.996933
23;-0.001572;-0.019684;-0.995178
24;-0.001740;-0.019012;-0.995941
25;-0.002304;-0.019119;-0.998032
26;-0.001785;-0.018890;-0.995239
27;-0.002090;-0.018692;-0.995026
28;-0.001373;-0.018875;-0.993286
29;-0.001740;-0.019180;-0.996597
30;-0.002319;-0.019592;-0.993073
31;-0.001877;-0.018829;-0.994049
32;-0.001480;-0.019501;-0.993256
33;-0.001678;-0.019089;-0.995758
34;-0.001877;-0.019775;-0.995300
35;-0.002106;-0.020493;-0.996033
36;-0.001175;-0.018799;-0.993179
37;-0.001801;-0.019226;-0.996429
38;-0.002060;-0.018402;-0.995956
39;-0.001633;-0.019379;-0.994553
40;-0.001450;-0.018661;-0.996078
41;-0.002136;-0.018631;-0.996033
42;-0.002350;-0.018753;-0.994461
43;-0.001541;-0.020493;-0.995560
44;-0.001755;-0.019775;-0.994568
45;-0.002213;-0.019455;-0.995010
46;-0.001572;-0.019394;-0.995270
47;-0.001495;-0.019730;-0.995392
48;-0.001694;-0.019073;-0.995636
49;-0.001724;-0.019531;-0.995865
50;-0.000656;-0.018723;-0.995117
51;-0.001373;-0.019531;-0.994629
52;-0.001373;-0.018860;-0.995926
53;-0.001801;-0.019730;-0.995758
54;-0.001678;-0.019623;-0.994141
55;-0.001633;-0.019760;-0.995331
56;-0.002197;-0.019897;-0.996246
57;-0.001892;-0.020264;-0.993744
58;-0.001648;-0.019394;-0.994705
59;-0.001221;-0.018311;-0.995102
60;-0.001770;-0.019852;-0.996048
61;-0.002289;-0.019211;-0.993835
62;-0.002151;-0.018692;-0.996338
63;-0.001144;-0.020386;-0.995697
64;-0.001663;-0.019348;-0.995773
65;-0.001465;-0.019775;-0.996536
66;-0.001450;-0.019028;-0.997086
67;-0.001404;-0.019302;-0.996292
68;-0.002441;-0.019089;-0.996964
69;-0.001297;-0.019989;-0.996506
70;-0.001740;-0.018539;-0.995377
71;-0.002151;-0.019073;-0.995041
72;-0.001556;-0.018921;-0.995560
73;-0.001541;-0.018997;-0.996231
74;-0.001312;-0.019485;-0.994156
75;-0.001160;-0.019226;-0.995926
