index;x;y;z
0;-0.012253;-0.011475;-0.955460
1;-0.008057;-0.012833;-0.979675
2;-0.005005;-0.014832;-0.994919
3;-0.004715;-0.015350;-0.996780
4;-0.005890;-0.014343;-0.995056
5;-0.005386;-0.014328;-0.994995
6;-0.005692;-0.014786;-0.995529
7;-0.004852;-0.014725;-0.996368
8;-0.005386;-0.015259;-0.995468
9;-0.005264;-0.014908;-0.996353
10;-0.004578;-0.014465;-0.995621
11;-0.005310;-0.014069;-0.997208
12;-0.005234;-0.015640;-0.996033
13;-0.005295;-0.015671;-0.996292
14;-0.005737;-0.015015;-0.995773
15;-0.005600;-0.014954;-0.994919
16;-0.005539;-0.014496;-0.996201
17;-0.005142;-0.014908;-0.995163
18;-0.004471;-0.015503;-0.996323
19;-0.004944;-0.015274;-0.996689
20;-0.004929;-0.014114;-0.995697
21;-0.005157;-0.014893;-0.995880
22;-0.005203;-0.015656;-0.994980
23;-0.004578;-0.014938;-0.994781
24;-0.004959;-0.015350;-0.995712
25;-0.004669;-0.015732;-0.995667
26;-0.006073;-0.015213;-0.995941
27;-0.004868;-0.014832;-0.996185
28;-0.004883;-0.014481;-0.995361
29;-0.005508;-0.015915;-0.995056
30;-0.004807;-0.016098;-0.994659
31;-0.005142;-0.014496;-0.995728
32;-0.004959;-0.014832;-0.996323
33;-0.005219;-0.014572;-0.995316
34;-0.005524;-0.014877;-0.996368
35;-0.005127;-0.015060;-0.994980
36;-0.005066;-0.014648;-0.995773
37;-0.004959;-0.015259;-0.995132
38;-0.005417;-0.015152;-0.994934
39;-0.004852;-0.015442;-0.995529
40;-0.004303;-0.015396;-0.995895
41;-0.005600;-0.015167;-0.995956
42;-0.004532;-0.014618;-0.995667
43;-0.004837;-0.014938;-0.995117
44;-0.006012;-0.014862;-0.996094
45;-0.004944;-0.014969;-0.995865
46;-0.005234;-0.015564;-0.993988
47;-0.005081;-0.014389;-0.995331
48;-0.005035;-0.015167;-0.995041
49;-0.005630;-0.014587;-0.995529
50;-0.005508;-0.014679;-0.995361
51;-0.004822;-0.015503;-0.995239
52;-0.005432;-0.015396;-0.996155
53;-0.004898;-0.015274;-0.995560
54;-0.005249;-0.014252;-0.996735
55;-0.004654;-0.015488;-0.995468
56;-0.005234;-0.014801;-0.995132
57;-0.005920;-0.015137;-0.995041
58;-0.005096;-0.014511;-0.995483
59;-0.005783;-0.015244;-0.995010
60;-0.005127;-0.015259;-0.994873
61;-0.005157;-0.015640;-0.995789
62;-0.005402;-0.015244;-0.995682
63;-0.005661;-0.015732;-0.996155
64;-0.005157;-0.015259;-0.995163
65;-0.005173;-0.015167;-0.996262
66;-0.004715;-0.015350;-0.996063
67;-0.004852;-0.014755;-0.994583
68;-0.005417;-0.015625;-0.995865
69;-0.004990;-0.014053;-0.995651
70;-0.004715;-0.015625;-0.994766
71;-0.006287;-0.015015;-0.995010
72;-0.005081;-0.014725;-0.995529
73;-0.004730;-0.015610;-0.996582
74;-0.005066;-0.014481;-0.994400
75;-0.004639;-0.015625;-0.996384
76;-0.004959;-0.015930;-0.995834
77;-0.005188;-0.015488;-0.995193
78;-0.005005;-0.014359;-0.996063
79;-0.004944;-0.015701;-0.997055
80;-0.004959;-0.016190;-0.995560
81;-0.004990;-0.014725;-0.996811
82;-0.005371;-0.015656;-0.996078
83;-0.004654;-0.014938;-0.996124
84;-0.004944;-0.014267;-0.996048
85;-0.004028;-0.016403;-0.995834
86;-0.005264;-0.015915;-0.994888
87;-0.005081;-0.015366;-0.996872
88;-0.005676;-0.015228;-0.996353
89;-0.005310;-0.014511;-0.996902
90;-0.004532;-0.015900;-0.994995
91;-0.005249;-0.015152;-0.995895
92;-0.004456;-0.014908;-0.995377
93;-0.005173;-0.014771;-0.994598
94;-0.004990;-0.016174;-0.995514
95;-0.005112;-0.015671;-0.996323
