index;x;y;z
0;0.000824;-0.017395;-1.023361
1;-0.004105;-0.014160;-0.996948
2;-0.004852;-0.014725;-0.998215
3;-0.004913;-0.015366;-0.996414
4;-0.004517;-0.014816;-0.995117
5;-0.005005;-0.014633;-0.994781
6;-0.005219;-0.014999;-0.996597
7;-0.004089;-0.015686;-0.996002
8;-0.005371;-0.014191;-0.996765
9;-0.004898;-0.015457;-0.994568
10;-0.004791;-0.014542;-0.995453
11;-0.005569;-0.015503;-0.995697
12;-0.005386;-0.015778;-0.995377
13;-0.004517;-0.015945;-0.995834
14;-0.004684;-0.015274;-0.995544
15;-0.005463;-0.015671;-0.996201
16;-0.005142;-0.014725;-0.996185
17;-0.005142;-0.014557;-0.995804
18;-0.004959;-0.015656;-0.995438
19;-0.004700;-0.015640;-0.996033
20;-0.004807;-0.014633;-0.995361
21;-0.004318;-0.014862;-0.995850
22;-0.005035;-0.015152;-0.995483
23;-0.005234;-0.015015;-0.995544
24;-0.004196;-0.014908;-0.995224
25;-0.005112;-0.015793;-0.997131
26;-0.004578;-0.014328;-0.995895
27;-0.005356;-0.015701;-0.995773
28;-0.005295;-0.015503;-0.995590
29;-0.004639;-0.015579;-0.996368
30;-0.005005;-0.015839;-0.995117
31;-0.005264;-0.015121;-0.994583
32;-0.004562;-0.015640;-0.995773
33;-0.005219;-0.015289;-0.995102
34;-0.004700;-0.014694;-0.995392
35;-0.005844;-0.014755;-0.996841
36;-0.003952;-0.014603;-0.995865
37;-0.005142;-0.014465;-0.995514
38;-0.004944;-0.015869;-0.995697
39;-0.004150;-0.016113;-0.996231
40;-0.004425;-0.014725;-0.995071
41;-0.004990;-0.015427;-0.996567
42;-0.003433;-0.015411;-0.995117
43;-0.004486;-0.015686;-0.995529
44;-0.004318;-0.015060;-0.994278
45;-0.004929;-0.014771;-0.994751
46;-0.004349;-0.014709;-0.994843
47;-0.005829;-0.015991;-0.995514
48;-0.005096;-0.014664;-0.995712
49;-0.005508;-0.015137;-0.995544
50;-0.004639;-0.015182;-0.995758
51;-0.004486;-0.015182;-0.995438
52;-0.004745;-0.015244;-0.996124
53;-0.005234;-0.015106;-0.995728
54;-0.003906;-0.015701;-0.996216
55;-0.004425;-0.015762;-0.996185
56;-0.004791;-0.014252;-0.995056
57;-0.004608;-0.015396;-0.996307
58;-0.005203;-0.014694;-0.995819
59;-0.005585;-0.014084;-0.995422
60;-0.003998;-0.015137;-0.996765
61;-0.004959;-0.014771;-0.995865
62;-0.003998;-0.015167;-0.995895
63;-0.004501;-0.014893;-0.997147
64;-0.005234;-0.015320;-0.996246
65;-0.004761;-0.014221;-0.995209
66;-0.004730;-0.015274;-0.995193
67;-0.004807;-0.014786;-0.995712
68;-0.004807;-0.015137;-0.994537
69;-0.004608;-0.015152;-0.995865
70;-0.004501;-0.015076;-0.996826
71;-0.005157;-0.014984;-0.994980
72;-0.005463;-0.014709;-0.995773
73;-0.004791;-0.015213;-0.996643
74;-0.004791;-0.014404;-0.996506
75;-0.004105;-0.014786;-0.997025
76;-0.004562;-0.015442;-0.995789
77;-0.005173;-0.014954;-0.995758
78;-0.005432;-0.015045;-0.994644
79;-0.005005;-0.014633;-0.995880
80;-0.004745;-0.014847;-0.995453
81;-0.005127;-0.014816;-0.996078
82;-0.004059;-0.014145;-0.995255
83;-0.004807;-0.014587;-0.995438
84;-0.005127;-0.014542;-0.995804
85;-0.005386;-0.015900;-0.996140
86;-0.004608;-0.014984;-0.995560
87;-0.004883;-0.015106;-0.995834
88;-0.004532;-0.015640;-0.996033
89;-0.004868;-0.015045;-0.995621
90;-0.005753;-0.014618;-0.996063
91;-0.005188;-0.015533;-0.996155
92;-0.005112;-0.015991;-0.995148
93;-0.004669;-0.015411;-0.995087
94;-0.004837;-0.015366;-0.995346
95;-0.004700;-0.015320;-0.994888
96;-0.004959;-0.014816;-0.994858
97;-0.005295;-0.014618;-0.996017
98;-0.005112;-0.014633;-0.996201
