index;x;y;z
0;-0.001083;-0.018539;-1.000870
1;-0.000854;-0.019241;-1.006409
2;-0.002213;-0.019104;-1.000732
3;-0.003159;-0.019012;-1.002350
4;-0.004089;-0.017838;-0.988388
5;-0.004440;-0.017578;-0.992355
6;-0.003586;-0.018463;-0.994446
7;-0.004379;-0.017929;-0.995209
8;-0.004425;-0.018356;-0.995712
9;-0.003494;-0.018280;-0.996841
10;-0.003784;-0.017654;-0.995819
11;-0.003220;-0.018753;-0.995132
12;-0.003448;-0.018661;-0.995193
13;-0.003937;-0.018570;-0.996338
14;-0.003540;-0.017822;-0.995285
15;-0.003220;-0.018127;-0.995697
16;-0.004730;-0.018829;-0.995926
17;-0.003708;-0.018616;-0.994965
18;-0.004211;-0.017960;-0.996368
19;-0.003159;-0.018417;-0.995895
20;-0.003174;-0.018021;-0.996201
21;-0.003784;-0.017975;-0.995529
22;-0.002594;-0.018723;-0.994934
23;-0.004105;-0.018570;-0.995117
24;-0.004410;-0.019379;-0.995575
25;-0.004044;-0.017792;-0.995651
26;-0.003601;-0.018661;-0.995728
27;-0.003143;-0.017914;-0.996277
28;-0.004105;-0.018661;-0.995682
29;-0.003967;-0.018616;-0.995300
30;-0.003235;-0.017960;-0.994186
31;-0.003525;-0.019012;-0.996216
32;-0.003067;-0.018661;-0.996338
33;-0.003555;-0.018524;-0.995880
34;-0.003906;-0.018204;-0.995285
35;-0.003891;-0.018066;-0.995880
36;-0.003143;-0.017975;-0.996628
37;-0.003952;-0.018341;-0.996033
38;-0.002777;-0.018097;-0.995056
39;-0.003220;-0.018433;-0.995483
40;-0.003738;-0.017883;-0.994186
41;-0.003479;-0.017563;-0.995148
42;-0.003677;-0.017944;-0.996185
43;-0.003799;-0.017349;-0.996719
44;-0.003693;-0.017838;-0.996628
45;-0.003998;-0.019135;-0.995560
46;-0.003784;-0.018051;-0.995087
47;-0.003799;-0.017487;-0.995132
48;-0.003479;-0.017838;-0.995789
49;-0.004425;-0.017792;-0.995789
50;-0.003326;-0.017471;-0.996109
51;-0.003479;-0.018356;-0.994965
52;-0.003525;-0.019211;-0.995316
53;-0.003143;-0.018494;-0.995773
54;-0.004059;-0.017380;-0.995682
55;-0.004028;-0.018188;-0.995987
56;-0.003693;-0.017853;-0.995300
57;-0.003693;-0.018097;-0.995026
58;-0.003922;-0.018509;-0.995972
59;-0.004013;-0.018219;-0.995911
60;-0.003967;-0.018433;-0.996078
61;-0.002655;-0.018814;-0.993912
62;-0.003693;-0.017380;-0.996063
63;-0.003723;-0.019348;-0.995255
64;-0.003784;-0.019073;-0.995605
65;-0.003937;-0.018814;-0.995438
66;-0.003387;-0.018051;-0.995224
67;-0.003510;-0.017258;-0.996048
68;-0.003494;-0.018768;-0.995193
69;-0.003738;-0.018570;-0.995041
70;-0.003555;-0.017883;-0.996689
71;-0.003586;-0.019608;-0.996140
72;-0.003922;-0.018997;-0.995560
73;-0.003708;-0.018692;-0.995850
74;-0.003510;-0.018524;-0.995926
75;-0.003311;-0.018570;-0.995560
76;-0.004028;-0.018097;-0.994019
77;-0.003586;-0.018646;-0.996445
78;-0.004120;-0.018127;-0.995560
79;-0.004044;-0.019012;-0.996613
80;-0.003006;-0.017685;-0.995026
81;-0.003723;-0.018814;-0.995102
82;-0.003189;-0.018539;-0.995804
83;-0.002625;-0.017990;-0.996170
84;-0.003815;-0.018127;-0.995850
85;-0.003784;-0.018677;-0.996231
86;-0.003326;-0.019119;-0.995407
87;-0.003616;-0.018311;-0.995972
88;-0.004166;-0.018845;-0.995575
89;-0.003983;-0.018158;-0.994080
90;-0.002914;-0.018417;-0.994919
91;-0.004105;-0.018463;-0.995361
92;-0.003754;-0.018509;-0.995682
93;-0.003479;-0.018173;-0.995850
94;-0.003372;-0.018677;-0.995590
95;-0.003693;-0.018524;-0.996338
96;-0.004059;-0.018021;-0.994659
97;-0.003693;-0.017822;-0.996109
98;-0.003387;-0.017639;-0.995193
99;-0.003967;-0.018417;-0.995392
100;-0.003708;-0.018127;-0.995438
101;-0.004028;-0.018204;-0.995773
102;-0.003555;-0.017990;-0.996094
103;-0.004089;-0.018692;-0.995621
104;-0.005035;-0.017899;-0.995056
105;-0.003616;-0.018158;-0.994080
106;-0.003448;-0.018570;-0.996094
