index;x;y;z
0;-0.002029;-0.018036;-0.994492
1;-0.002304;-0.017700;-0.994308
2;-0.003632;-0.018082;-0.995392
3;-0.002991;-0.016968;-0.995346
4;-0.002655;-0.017487;-0.995102
5;-0.002594;-0.017380;-0.995956
6;-0.002930;-0.017960;-0.996277
7;-0.003174;-0.017517;-0.995377
8;-0.002823;-0.017136;-0.995895
9;-0.002823;-0.017715;-0.995468
10;-0.002914;-0.018036;-0.995651
11;-0.002914;-0.017853;-0.996628
12;-0.002670;-0.017960;-0.995621
13;-0.003281;-0.017868;-0.994858
14;-0.002853;-0.017136;-0.995468
15;-0.002518;-0.017029;-0.995789
16;-0.003250;-0.018417;-0.995316
17;-0.002869;-0.018387;-0.995468
18;-0.003525;-0.017685;-0.994888
19;-0.003845;-0.018585;-0.994766
20;-0.002914;-0.017471;-0.994843
21;-0.002640;-0.017838;-0.993912
22;-0.002411;-0.017471;-0.995407
23;-0.003357;-0.018188;-0.995667
24;-0.003174;-0.018295;-0.995193
25;-0.002060;-0.017441;-0.994919
26;-0.002640;-0.017975;-0.995102
27;-0.003342;-0.017136;-0.996826
28;-0.002640;-0.017853;-0.995224
29;-0.002472;-0.017426;-0.995636
30;-0.002563;-0.017517;-0.994873
31;-0.002136;-0.017776;-0.994781
32;-0.002457;-0.017639;-0.996231
33;-0.003540;-0.018066;-0.994873
34;-0.001709;-0.017761;-0.994766
35;-0.002884;-0.017242;-0.994415
36;-0.002777;-0.018433;-0.994507
37;-0.003540;-0.017181;-0.993927
38;-0.002762;-0.017593;-0.994583
39;-0.003525;-0.016785;-0.995438
40;-0.003098;-0.017853;-0.996002
41;-0.003372;-0.017487;-0.995148
42;-0.002777;-0.017868;-0.995712
43;-0.003784;-0.017807;-0.995728
44;-0.003693;-0.018066;-0.994370
45;-0.002777;-0.018265;-0.995453
46;-0.002731;-0.017044;-0.995285
47;-0.002884;-0.017975;-0.995514
48;-0.002609;-0.017365;-0.994705
49;-0.002457;-0.017960;-0.995972
50;-0.003052;-0.018875;-0.995316
51;-0.002457;-0.017838;-0.995193
52;-0.002060;-0.017929;-0.995819
53;-0.002625;-0.017227;-0.995087
54;-0.003021;-0.017853;-0.994629
55;-0.002869;-0.016876;-0.995010
56;-0.002396;-0.017654;-0.995636
57;-0.003265;-0.017807;-0.994873
58;-0.002914;-0.018005;-0.995239
59;-0.003204;-0.017899;-0.995865
60;-0.002670;-0.017624;-0.995331
61;-0.002594;-0.018082;-0.994385
62;-0.002686;-0.017380;-0.994766
63;-0.003326;-0.017700;-0.995071
64;-0.002609;-0.017578;-0.994888
65;-0.002701;-0.018143;-0.994980
66;-0.002960;-0.017487;-0.995209
67;-0.002472;-0.017929;-0.995270
68;-0.002731;-0.018005;-0.994736
69;-0.003036;-0.017029;-0.995819
70;-0.002869;-0.017197;-0.995178
71;-0.002502;-0.017914;-0.995422
72;-0.002625;-0.018082;-0.994934
73;-0.002045;-0.018311;-0.995850
74;-0.003006;-0.017014;-0.995239
75;-0.002869;-0.017670;-0.995728
76;-0.003677;-0.017181;-0.995758
77;-0.002991;-0.017593;-0.995926
78;-0.002792;-0.016953;-0.996475
79;-0.003052;-0.017731;-0.995255
80;-0.002899;-0.017548;-0.995132
81;-0.003235;-0.018188;-0.995834
82;-0.003067;-0.017624;-0.995117
83;-0.003342;-0.017029;-0.995819
84;-0.002762;-0.017548;-0.995163
85;-0.002945;-0.017792;-0.994781
86;-0.003571;-0.017365;-0.996109
87;-0.002579;-0.017349;-0.995926
88;-0.003601;-0.017761;-0.995193
89;-0.003479;-0.017532;-0.995605
90;-0.003403;-0.017624;-0.994995
91;-0.002762;-0.017258;-0.994583
92;-0.003296;-0.017441;-0.994873
93;-0.002548;-0.018478;-0.994934
94;-0.003143;-0.018494;-0.995789
95;-0.002731;-0.017181;-0.995438
96;-0.002487;-0.018143;-0.994995
97;-0.002686;-0.017502;-0.995667
98;-0.003021;-0.018097;-0.995850
99;-0.003326;-0.017853;-0.994873
