index;x;y;z
0;0.007416;-0.023376;-0.995056
1;0.007996;-0.024124;-0.994049
2;0.006790;-0.023834;-0.996109
3;0.007065;-0.024307;-0.993774
4;0.008118;-0.023254;-0.994736
5;0.008392;-0.023438;-0.994827
6;0.007431;-0.024246;-0.994156
7;0.008057;-0.023895;-0.994217
8;0.007812;-0.023941;-0.993896
9;0.007996;-0.023285;-0.994553
10;0.007706;-0.024643;-0.995010
11;0.006897;-0.024582;-0.994919
12;0.007675;-0.023712;-0.995224
13;0.008301;-0.024673;-0.995239
14;0.007431;-0.023392;-0.993347
15;0.007965;-0.024231;-0.995422
16;0.006989;-0.024414;-0.994064
17;0.007202;-0.024612;-0.993484
18;0.007950;-0.024048;-0.994125
19;0.007080;-0.022858;-0.994675
20;0.007416;-0.024124;-0.995773
21;0.007858;-0.023712;-0.994690
22;0.008087;-0.024414;-0.994949
23;0.007706;-0.024170;-0.995773
24;0.007950;-0.024689;-0.993378
25;0.007828;-0.022705;-0.994797
26;0.007294;-0.024414;-0.993958
27;0.007980;-0.024445;-0.994705
28;0.007355;-0.023911;-0.995087
29;0.007538;-0.023178;-0.994644
30;0.007416;-0.024750;-0.994675
31;0.007294;-0.023590;-0.994659
32;0.007080;-0.024048;-0.994919
33;0.007889;-0.023224;-0.995102
34;0.007904;-0.024200;-0.994141
35;0.007706;-0.024490;-0.995163
36;0.007828;-0.024460;-0.993011
37;0.007126;-0.024597;-0.995056
38;0.007172;-0.024857;-0.994431
39;0.007889;-0.023727;-0.994354
40;0.007050;-0.024857;-0.995163
41;0.008102;-0.024399;-0.994217
42;0.007477;-0.024734;-0.994781
43;0.007141;-0.023849;-0.994064
44;0.008011;-0.024673;-0.993561
45;0.007706;-0.024490;-0.995193
46;0.007294;-0.023987;-0.995010
47;0.008102;-0.023651;-0.994888
48;0.007538;-0.023941;-0.994553
49;0.007858;-0.024323;-0.995270
50;0.007904;-0.024796;-0.994766
51;0.007492;-0.024124;-0.993500
52;0.008560;-0.023941;-0.994202
53;0.007690;-0.024368;-0.995392
54;0.007431;-0.024384;-0.995407
55;0.007828;-0.023499;-0.994904
56;0.008362;-0.023224;-0.994202
57;0.007614;-0.023972;-0.994537
58;0.007721;-0.024094;-0.995255
59;0.007355;-0.023621;-0.993225
60;0.007477;-0.024445;-0.993637
61;0.008728;-0.024155;-0.994263
62;0.007828;-0.023590;-0.994644
63;0.007675;-0.023987;-0.995010
64;0.007599;-0.023849;-0.995087
65;0.007446;-0.025009;-0.994370
66;0.007339;-0.023865;-0.995178
67;0.007782;-0.022781;-0.993347
68;0.007629;-0.023849;-0.993683
69;0.007858;-0.023499;-0.994370
70;0.007568;-0.023285;-0.993927
71;0.007980;-0.024017;-0.993942
72;0.007706;-0.022964;-0.993851
73;0.006668;-0.023682;-0.995193
74;0.006958;-0.023468;-0.994324
75;0.007248;-0.024719;-0.994629
76;0.006851;-0.023727;-0.994766
77;0.008255;-0.024277;-0.994995
78;0.007507;-0.024445;-0.994797
79;0.007156;-0.024826;-0.992798
80;0.007950;-0.024094;-0.994125
81;0.007660;-0.024567;-0.995102
82;0.008087;-0.024658;-0.994446
83;0.007339;-0.024582;-0.995270
84;0.007126;-0.025253;-0.994583
85;0.006943;-0.023773;-0.995148
86;0.007278;-0.024292;-0.995224
87;0.006973;-0.023666;-0.993668
