index;x;y;z
0;-0.003952;-0.021286;-0.949509
1;0.006607;-0.025803;-1.010056
2;0.002304;-0.024643;-0.989441
3;0.004745;-0.025208;-0.997360
4;0.003433;-0.024521;-0.994995
5;0.003830;-0.025055;-0.995163
6;0.003281;-0.024490;-0.995758
7;0.004105;-0.025726;-0.995911
8;0.003586;-0.024902;-0.996887
9;0.004333;-0.025269;-0.994507
10;0.003738;-0.024826;-0.994751
11;0.003738;-0.024933;-0.997391
12;0.004379;-0.025772;-0.994141
13;0.003525;-0.025803;-0.995209
14;0.004013;-0.025177;-0.995270
15;0.003616;-0.024414;-0.994049
16;0.003601;-0.025040;-0.994827
17;0.003265;-0.023712;-0.994705
18;0.003693;-0.025436;-0.995636
19;0.003342;-0.024536;-0.995331
20;0.003983;-0.024368;-0.994949
21;0.003815;-0.025696;-0.994675
22;0.003799;-0.025406;-0.994644
23;0.003922;-0.025543;-0.994644
24;0.003494;-0.025375;-0.995697
25;0.004486;-0.025467;-0.994904
26;0.003540;-0.024185;-0.994995
27;0.002274;-0.025482;-0.994843
28;0.004166;-0.025131;-0.995682
29;0.003510;-0.025040;-0.996124
30;0.003769;-0.024948;-0.994766
31;0.003784;-0.024399;-0.995895
32;0.003662;-0.024811;-0.995300
33;0.004059;-0.025604;-0.995056
34;0.004211;-0.024506;-0.994278
35;0.003815;-0.026047;-0.995316
36;0.004440;-0.025421;-0.995438
37;0.003937;-0.023788;-0.994583
38;0.004089;-0.025345;-0.995392
39;0.002853;-0.025970;-0.995743
40;0.004379;-0.024857;-0.995758
41;0.003891;-0.024612;-0.995239
42;0.003342;-0.025131;-0.995132
43;0.004227;-0.024078;-0.995636
44;0.003540;-0.025101;-0.995987
45;0.003876;-0.024399;-0.994659
46;0.004227;-0.024689;-0.995682
47;0.003372;-0.024963;-0.994812
48;0.003876;-0.025391;-0.995453
49;0.003967;-0.025208;-0.995316
50;0.004166;-0.025558;-0.995651
51;0.004166;-0.025009;-0.995071
52;0.004059;-0.024673;-0.994736
53;0.003540;-0.025055;-0.996170
54;0.004578;-0.026245;-0.995193
55;0.003860;-0.024765;-0.996460
56;0.003525;-0.024857;-0.995483
57;0.003860;-0.024689;-0.995163
58;0.002899;-0.024506;-0.995697
59;0.003784;-0.024063;-0.995590
60;0.003433;-0.024780;-0.995132
61;0.003326;-0.024780;-0.995346
62;0.003815;-0.024994;-0.994110
63;0.003738;-0.024170;-0.995514
64;0.003571;-0.025330;-0.995392
65;0.004547;-0.025223;-0.996368
66;0.003845;-0.025085;-0.995377
67;0.004425;-0.024307;-0.995026
68;0.004868;-0.024796;-0.994995
69;0.003525;-0.025253;-0.995285
70;0.004211;-0.024948;-0.995972
71;0.004150;-0.025162;-0.993973
72;0.002533;-0.025238;-0.996017
73;0.004654;-0.025040;-0.994614
74;0.002609;-0.024734;-0.993759
