index;x;y;z
0;-0.003571;-0.016159;-1.014282
1;-0.013077;-0.010284;-0.961884
2;-0.006439;-0.013168;-0.997803
3;-0.005600;-0.014374;-1.000626
4;-0.007919;-0.012589;-0.992752
5;-0.007568;-0.013809;-0.993881
6;-0.006485;-0.012695;-0.995071
7;-0.006927;-0.013306;-0.994614
8;-0.006592;-0.013840;-0.995422
9;-0.007111;-0.013702;-0.995483
10;-0.007233;-0.012863;-0.994949
11;-0.006989;-0.013504;-0.995148
12;-0.006989;-0.013245;-0.995529
13;-0.006668;-0.012894;-0.995895
14;-0.007324;-0.012375;-0.996597
15;-0.007217;-0.013504;-0.995071
16;-0.006790;-0.012451;-0.994385
17;-0.007614;-0.012924;-0.996262
18;-0.007156;-0.012970;-0.994919
19;-0.006729;-0.012741;-0.994003
20;-0.006348;-0.012741;-0.995300
21;-0.007050;-0.014008;-0.994629
22;-0.006668;-0.012894;-0.995621
23;-0.006363;-0.012985;-0.994186
24;-0.007217;-0.013260;-0.995819
25;-0.006683;-0.012817;-0.995895
26;-0.007172;-0.012665;-0.995071
27;-0.006866;-0.013443;-0.995743
28;-0.007126;-0.013321;-0.995529
29;-0.007980;-0.013351;-0.996323
30;-0.007599;-0.012680;-0.994919
31;-0.007156;-0.013596;-0.995926
32;-0.007111;-0.012924;-0.996353
33;-0.006714;-0.013321;-0.995117
34;-0.006592;-0.012680;-0.996262
35;-0.007126;-0.014069;-0.995560
36;-0.007858;-0.013519;-0.994965
37;-0.006760;-0.013229;-0.996002
38;-0.007126;-0.012817;-0.995056
39;-0.006943;-0.012939;-0.995453
40;-0.007187;-0.013199;-0.995407
41;-0.006943;-0.013077;-0.996033
42;-0.006897;-0.012375;-0.995163
43;-0.007385;-0.012970;-0.996506
44;-0.006973;-0.012665;-0.995544
45;-0.006821;-0.012589;-0.995865
46;-0.007523;-0.013275;-0.994858
47;-0.007034;-0.013351;-0.996155
48;-0.007599;-0.013474;-0.995621
49;-0.007095;-0.011795;-0.995605
50;-0.007965;-0.013016;-0.995529
51;-0.006714;-0.014008;-0.995270
52;-0.007507;-0.013123;-0.996078
53;-0.006821;-0.012878;-0.996216
54;-0.007034;-0.012604;-0.995087
55;-0.005768;-0.013672;-0.995911
56;-0.006943;-0.013397;-0.995270
57;-0.007370;-0.013138;-0.994583
58;-0.007690;-0.011887;-0.996017
59;-0.007523;-0.013382;-0.995346
60;-0.006409;-0.013321;-0.995895
61;-0.006897;-0.013168;-0.995361
62;-0.006851;-0.012817;-0.995392
63;-0.007370;-0.014221;-0.995071
64;-0.007126;-0.013321;-0.996994
65;-0.008286;-0.013123;-0.994888
66;-0.006882;-0.013062;-0.995865
67;-0.006195;-0.013077;-0.995255
68;-0.007141;-0.013565;-0.994980
69;-0.007263;-0.013596;-0.996094
70;-0.006653;-0.012924;-0.996033
71;-0.006943;-0.013382;-0.995682
72;-0.006897;-0.013290;-0.995850
73;-0.006470;-0.012299;-0.994614
74;-0.006332;-0.013489;-0.994553
75;-0.006622;-0.012329;-0.996765
76;-0.007645;-0.012589;-0.995285
77;-0.006470;-0.012650;-0.994614
78;-0.007019;-0.013214;-0.995743
79;-0.006561;-0.013077;-0.996017
80;-0.006439;-0.013229;-0.994537
81;-0.006622;-0.013779;-0.995438
82;-0.007065;-0.012848;-0.995224
83;-0.007431;-0.011642;-0.995758
84;-0.006699;-0.012527;-0.995865
85;-0.006393;-0.013382;-0.995758
86;-0.006927;-0.012726;-0.996063
87;-0.007858;-0.012314;-0.995148
88;-0.007248;-0.013870;-0.995865
89;-0.006989;-0.012573;-0.995148
90;-0.007217;-0.012726;-0.995209
91;-0.007736;-0.013062;-0.995667
92;-0.007446;-0.013550;-0.995712
93;-0.007141;-0.013672;-0.996033
94;-0.007507;-0.013596;-0.996201
95;-0.006821;-0.013199;-0.995285
96;-0.007446;-0.014053;-0.994812
97;-0.006912;-0.013336;-0.995163
98;-0.007477;-0.012909;-0.994827
99;-0.007065;-0.012939;-0.995972
100;-0.006393;-0.012451;-0.994812
101;-0.006699;-0.013672;-0.996185
102;-0.006622;-0.013809;-0.995361
103;-0.007095;-0.013397;-0.996078
104;-0.007034;-0.012985;-0.994949
105;-0.007187;-0.013245;-0.996033
106;-0.006927;-0.011841;-0.996475
107;-0.007385;-0.012573;-0.997482
108;-0.007095;-0.012405;-0.995773
109;-0.006592;-0.013626;-0.995056
110;-0.007584;-0.012756;-0.994812
111;-0.006577;-0.012802;-0.995087
112;-0.007706;-0.013428;-0.995087
113;-0.007202;-0.013443;-0.995209
114;-0.007172;-0.013596;-0.995148
115;-0.007065;-0.013016;-0.996094
116;-0.006317;-0.013290;-0.994125
117;-0.006668;-0.012650;-0.995636
118;-0.007141;-0.013550;-0.995422
119;-0.007324;-0.014343;-0.995758
120;-0.006653;-0.013123;-0.994843
121;-0.006851;-0.013885;-0.995361
122;-0.007324;-0.012711;-0.995605
123;-0.006332;-0.013657;-0.996170
124;-0.006348;-0.014023;-0.995651
125;-0.006226;-0.013321;-0.995773
126;-0.007080;-0.012756;-0.996323
127;-0.007004;-0.013138;-0.996536
128;-0.006546;-0.013519;-0.995926
129;-0.006882;-0.013107;-0.995789
130;-0.007446;-0.013824;-0.994156
131;-0.006744;-0.013229;-0.995895
132;-0.007080;-0.012466;-0.995316
133;-0.007858;-0.012634;-0.996155
134;-0.006378;-0.012726;-0.995667
135;-0.007431;-0.014069;-0.995438
136;-0.007370;-0.013672;-0.995392
137;-0.006958;-0.013748;-0.996613
138;-0.007217;-0.014084;-0.995697
139;-0.006638;-0.012833;-0.994888
140;-0.007202;-0.012894;-0.994965
141;-0.006729;-0.013031;-0.995041
142;-0.006836;-0.011810;-0.995926
143;-0.006775;-0.013885;-0.995117
144;-0.007324;-0.012848;-0.996384
145;-0.006332;-0.013992;-0.995728
146;-0.007263;-0.012924;-0.995865
147;-0.007446;-0.012329;-0.996414
148;-0.007263;-0.013535;-0.995697
149;-0.007065;-0.013458;-0.994827
150;-0.009140;-0.012238;-0.979538
151;-0.003601;-0.014511;-0.991119
152;0.001511;-0.017227;-1.020752
