index;x;y;z
0;-0.000824;-0.019623;-0.996918
1;-0.000931;-0.020432;-0.995316
2;-0.001633;-0.020035;-0.996964
3;-0.001343;-0.019363;-0.996277
4;-0.000885;-0.020645;-0.994995
5;-0.001022;-0.020157;-0.995178
6;-0.000565;-0.019836;-0.994995
7;-0.001083;-0.020386;-0.997055
8;-0.000992;-0.019669;-0.995468
9;-0.000504;-0.019623;-0.995987
10;-0.000885;-0.020233;-0.996826
11;-0.001511;-0.020615;-0.995712
12;-0.001068;-0.020096;-0.995346
13;0.000336;-0.020187;-0.996368
14;-0.000854;-0.020782;-0.994919
15;-0.000916;-0.020935;-0.996490
16;-0.001465;-0.019440;-0.995789
17;-0.001144;-0.020935;-0.996002
18;-0.001541;-0.019165;-0.995499
19;-0.000549;-0.019943;-0.995682
20;-0.001038;-0.020569;-0.994934
21;-0.000549;-0.020660;-0.995087
22;-0.001205;-0.020081;-0.994995
23;-0.000885;-0.019882;-0.995865
24;-0.000793;-0.020157;-0.994507
25;-0.000458;-0.020569;-0.996078
26;-0.000183;-0.020279;-0.995972
27;-0.001221;-0.019760;-0.996262
28;-0.001236;-0.019653;-0.995331
29;-0.000183;-0.020523;-0.995178
30;-0.000961;-0.020996;-0.996094
31;-0.000763;-0.020248;-0.995300
32;-0.000839;-0.020645;-0.995148
33;-0.000961;-0.019669;-0.995895
34;-0.000519;-0.020355;-0.994568
35;-0.001160;-0.019882;-0.995590
36;-0.001312;-0.020691;-0.995544
37;-0.000458;-0.019913;-0.994659
38;-0.001282;-0.020355;-0.996155
39;-0.000336;-0.020020;-0.996170
40;0.000076;-0.019775;-0.995712
41;-0.000671;-0.020523;-0.995819
42;-0.001083;-0.020554;-0.995972
43;-0.000259;-0.019974;-0.995972
44;-0.001038;-0.020279;-0.996201
45;-0.001068;-0.020126;-0.996475
46;-0.000275;-0.020447;-0.995056
47;-0.000580;-0.019394;-0.994110
48;-0.001144;-0.021011;-0.996460
49;-0.000641;-0.020035;-0.996521
50;-0.000809;-0.020325;-0.995010
51;-0.000809;-0.020004;-0.995056
52;-0.000961;-0.020355;-0.994751
53;-0.001419;-0.020020;-0.995605
