index;x;y;z
0;0.006088;-0.023514;-0.989594
1;0.008423;-0.022705;-0.998291
2;0.006897;-0.023438;-0.995911
3;0.006378;-0.022797;-0.995026
4;0.007446;-0.022842;-0.994995
5;0.007355;-0.022507;-0.996201
6;0.007370;-0.022812;-0.995224
7;0.006912;-0.023468;-0.996048
8;0.007492;-0.022858;-0.995453
9;0.006409;-0.023163;-0.996231
10;0.007004;-0.022507;-0.994507
11;0.007141;-0.022995;-0.996094
12;0.007126;-0.022552;-0.996033
13;0.007629;-0.023621;-0.995499
14;0.006851;-0.022919;-0.995544
15;0.006699;-0.022095;-0.995087
16;0.007050;-0.021851;-0.996338
17;0.007767;-0.022156;-0.995239
18;0.007599;-0.022934;-0.995392
19;0.006592;-0.022446;-0.995789
20;0.006912;-0.022629;-0.995682
21;0.007324;-0.022949;-0.994278
22;0.007294;-0.022583;-0.995483
23;0.007095;-0.022675;-0.995163
24;0.006882;-0.022766;-0.994583
25;0.007431;-0.023849;-0.994827
26;0.007034;-0.023056;-0.995438
27;0.006653;-0.021942;-0.995361
28;0.006805;-0.022400;-0.995941
29;0.006821;-0.022903;-0.996231
30;0.007523;-0.022095;-0.994888
31;0.007034;-0.022293;-0.995300
32;0.006927;-0.023468;-0.995224
33;0.007492;-0.023911;-0.996094
34;0.006989;-0.022858;-0.994781
35;0.007217;-0.022797;-0.994766
36;0.007507;-0.022186;-0.996353
37;0.006760;-0.022598;-0.996429
38;0.006287;-0.021927;-0.995667
39;0.006378;-0.022705;-0.996582
40;0.007187;-0.021683;-0.995621
41;0.006989;-0.022690;-0.995026
42;0.006836;-0.022430;-0.995712
43;0.007401;-0.022049;-0.996368
44;0.007233;-0.023056;-0.996979
45;0.006973;-0.023361;-0.994949
46;0.007080;-0.022629;-0.994644
47;0.006973;-0.023026;-0.994354
48;0.006653;-0.022141;-0.994858
49;0.007538;-0.022842;-0.994858
50;0.006363;-0.022827;-0.995483
51;0.007355;-0.022888;-0.995850
52;0.007156;-0.023026;-0.995514
53;0.006683;-0.022842;-0.995682
54;0.006363;-0.022385;-0.995819
55;0.007721;-0.022598;-0.995453
56;0.006714;-0.022888;-0.995041
57;0.006775;-0.023193;-0.994751
58;0.006668;-0.023132;-0.995834
59;0.006348;-0.022827;-0.994370
60;0.006577;-0.021530;-0.995148
61;0.006851;-0.022736;-0.993958
62;0.006348;-0.022110;-0.994873
63;0.007034;-0.022171;-0.996231
64;0.005890;-0.023056;-0.996368
65;0.006363;-0.023010;-0.995239
66;0.006683;-0.022247;-0.994949
67;0.007019;-0.022552;-0.995636
68;0.006271;-0.022400;-0.995972
69;0.006973;-0.022507;-0.995209
70;0.006500;-0.022675;-0.995255
71;0.006409;-0.022339;-0.996094
72;0.007446;-0.023392;-0.995483
73;0.005768;-0.022949;-0.994843
74;0.006973;-0.023026;-0.995667
75;0.006775;-0.022614;-0.997299
76;0.007278;-0.023361;-0.995682
77;0.007034;-0.023056;-0.994308
78;0.006989;-0.023102;-0.995834
79;0.006409;-0.022202;-0.996338
80;0.006073;-0.022186;-0.996048
81;0.006744;-0.023010;-0.994644
82;0.006729;-0.022476;-0.994095
83;0.007401;-0.022156;-0.995636
84;0.006470;-0.022705;-0.995514
85;0.007614;-0.022278;-0.995071
86;0.006500;-0.022491;-0.995026
87;0.005539;-0.022781;-0.995300
88;0.006088;-0.021957;-0.996094
89;0.007172;-0.023422;-0.995316
90;0.005875;-0.022690;-0.995209
91;0.007187;-0.023132;-0.995300
92;0.006332;-0.022385;-0.994995
93;0.005890;-0.022964;-0.996429
94;0.006470;-0.022476;-0.994690
95;0.006424;-0.023514;-0.996078
96;0.007080;-0.022537;-0.996094
97;0.006058;-0.022034;-0.995453
98;0.006805;-0.023605;-0.995804
99;0.007355;-0.022400;-0.995209
100;0.006943;-0.022888;-0.995621
101;0.007324;-0.022522;-0.995163
102;0.006256;-0.023056;-0.995087
103;0.007156;-0.022141;-0.995316
104;0.006348;-0.022354;-0.994690
105;0.007233;-0.023468;-0.995682
106;0.006439;-0.022858;-0.995880
107;0.006424;-0.022568;-0.994812
108;0.006668;-0.022797;-0.995255
109;0.006668;-0.023071;-0.994949
110;0.005890;-0.023087;-0.994751
111;0.006378;-0.022949;-0.995041
112;0.005966;-0.022263;-0.994766
113;0.006500;-0.022354;-0.995850
114;0.006271;-0.021713;-0.995590
115;0.006226;-0.023682;-0.995270
116;0.006210;-0.022522;-0.995026
117;0.007462;-0.022644;-0.995132
118;0.005966;-0.022690;-0.995697
119;0.006760;-0.022476;-0.996155
120;0.006836;-0.021774;-0.995300
121;0.006104;-0.023346;-0.996094
122;0.005920;-0.022552;-0.995361
123;0.006821;-0.022507;-0.996048
124;0.006821;-0.022934;-0.995316
125;0.006927;-0.022736;-0.996063
126;0.005722;-0.022293;-0.994095
127;0.006241;-0.022049;-0.996155
128;0.006714;-0.023407;-0.996002
129;0.006134;-0.023026;-0.995575
130;0.006165;-0.021851;-0.995895
131;0.006241;-0.022308;-0.996262
132;0.006332;-0.022507;-0.995239
133;0.007111;-0.022354;-0.995605
134;0.007141;-0.022415;-0.994980
135;0.006348;-0.021988;-0.994934
136;0.006851;-0.022049;-0.995407
137;0.006516;-0.022079;-0.994720
138;0.006805;-0.023132;-0.994644
139;0.007263;-0.022522;-0.996506
140;0.006805;-0.022827;-0.995422
