index;x;y;z
0;-0.005356;-0.013123;-0.995239
1;-0.004974;-0.013016;-0.996170
2;-0.004471;-0.013092;-0.994568
3;-0.005112;-0.013535;-0.995255
4;-0.005020;-0.013046;-0.995544
5;-0.004883;-0.013733;-0.994888
6;-0.004379;-0.012939;-0.995850
7;-0.005142;-0.013367;-0.995865
8;-0.005676;-0.013611;-0.996185
9;-0.005508;-0.013962;-0.995087
10;-0.005112;-0.013031;-0.995285
11;-0.004425;-0.013306;-0.995865
12;-0.005081;-0.013550;-0.995560
13;-0.004761;-0.013565;-0.995148
14;-0.005066;-0.013229;-0.994904
15;-0.004852;-0.013367;-0.995819
16;-0.004822;-0.013153;-0.995392
17;-0.005356;-0.012573;-0.994858
18;-0.005417;-0.013123;-0.995590
19;-0.004440;-0.013397;-0.995758
20;-0.005493;-0.012634;-0.996140
21;-0.004761;-0.014252;-0.995148
22;-0.005554;-0.013672;-0.993866
23;-0.005722;-0.013351;-0.995819
24;-0.004456;-0.013199;-0.995346
25;-0.005325;-0.013443;-0.995834
26;-0.005035;-0.012375;-0.994736
27;-0.004913;-0.013092;-0.995804
28;-0.004562;-0.013336;-0.994400
29;-0.004852;-0.012756;-0.994843
30;-0.005112;-0.013489;-0.995453
31;-0.005554;-0.013000;-0.995316
32;-0.004944;-0.013977;-0.995102
33;-0.005356;-0.013229;-0.994934
34;-0.005600;-0.013367;-0.995224
35;-0.004822;-0.013351;-0.996094
36;-0.005264;-0.013412;-0.995880
37;-0.004837;-0.013367;-0.995865
38;-0.004669;-0.012833;-0.994720
39;-0.004471;-0.012939;-0.996170
40;-0.005264;-0.013138;-0.995224
41;-0.005447;-0.013275;-0.995697
42;-0.004349;-0.013168;-0.996567
43;-0.004807;-0.012573;-0.995560
44;-0.004959;-0.013321;-0.994141
45;-0.004288;-0.013031;-0.994537
46;-0.005051;-0.013275;-0.995377
47;-0.004349;-0.013550;-0.995087
48;-0.004990;-0.013885;-0.994888
49;-0.005249;-0.013351;-0.994888
50;-0.005005;-0.012985;-0.996277
51;-0.005753;-0.013962;-0.995941
52;-0.005356;-0.013855;-0.996231
53;-0.004532;-0.013519;-0.996124
54;-0.004837;-0.012512;-0.994568
55;-0.005020;-0.013443;-0.994644
56;-0.005615;-0.013489;-0.995590
57;-0.005020;-0.012833;-0.994568
58;-0.005112;-0.013397;-0.996323
59;-0.005676;-0.013565;-0.995300
60;-0.004623;-0.013382;-0.995697
61;-0.005585;-0.012680;-0.995880
62;-0.005585;-0.013351;-0.994583
63;-0.005402;-0.012772;-0.996567
64;-0.005310;-0.013474;-0.995972
65;-0.005493;-0.012924;-0.994949
66;-0.005203;-0.012726;-0.995331
67;-0.004822;-0.012863;-0.995026
68;-0.004868;-0.012589;-0.995071
69;-0.005234;-0.013336;-0.995682
70;-0.005692;-0.014099;-0.995514
71;-0.004456;-0.013107;-0.996063
72;-0.005981;-0.012848;-0.995499
73;-0.005173;-0.013611;-0.994980
74;-0.005280;-0.013580;-0.995392
75;-0.003815;-0.013107;-0.993896
76;-0.005035;-0.013519;-0.995544
77;-0.005386;-0.012802;-0.995972
78;-0.005356;-0.013779;-0.995117
79;-0.005234;-0.012802;-0.996048
