index;x;y;z
0;-0.000702;-0.008347;-0.995697
1;-0.000458;-0.009857;-0.995407
2;-0.001175;-0.008865;-0.995865
3;-0.001053;-0.009598;-0.994858
4;-0.000626;-0.008972;-0.996277
5;-0.001053;-0.009903;-0.994492
6;-0.000137;-0.008408;-0.995209
7;-0.001068;-0.008072;-0.998169
8;-0.000885;-0.008453;-0.993744
9;0.000107;-0.009186;-0.994705
10;-0.000519;-0.008835;-0.995392
11;-0.000824;-0.008759;-0.994949
12;-0.000992;-0.008636;-0.995651
13;-0.000793;-0.009323;-0.995361
14;-0.001053;-0.009308;-0.994919
15;-0.000702;-0.008148;-0.996109
16;-0.000443;-0.007980;-0.995255
17;-0.000549;-0.008331;-0.997223
18;-0.001114;-0.009399;-0.994476
19;-0.001251;-0.009796;-0.995926
20;-0.000549;-0.007889;-0.994400
21;-0.000427;-0.009598;-0.995544
22;-0.000854;-0.008606;-0.995178
23;-0.001144;-0.008087;-0.995941
24;-0.000687;-0.009415;-0.994720
25;-0.000763;-0.009628;-0.994751
26;-0.000946;-0.008820;-0.995651
27;-0.001221;-0.008331;-0.995529
28;-0.000793;-0.008804;-0.994278
29;0.000046;-0.009201;-0.995758
30;-0.001053;-0.009094;-0.996780
31;-0.001144;-0.008453;-0.993805
32;-0.000244;-0.008423;-0.995941
33;-0.001068;-0.007401;-0.994629
34;-0.001236;-0.007645;-0.996094
35;-0.002106;-0.008865;-0.996063
36;-0.000656;-0.009644;-0.994934
37;-0.000336;-0.009262;-0.995483
38;-0.000992;-0.008652;-0.995422
39;-0.000778;-0.009308;-0.995224
40;-0.000412;-0.009079;-0.996094
41;-0.001266;-0.008026;-0.995605
42;-0.000839;-0.008514;-0.994797
43;-0.000610;-0.008240;-0.994293
44;0.000015;-0.009201;-0.995499
45;-0.000381;-0.009521;-0.995026
46;-0.001297;-0.009109;-0.995193
47;-0.001480;-0.009247;-0.993927
48;-0.001007;-0.008408;-0.997345
49;-0.000824;-0.009628;-0.996353
50;-0.000595;-0.009277;-0.994034
51;-0.000641;-0.008804;-0.995361
52;-0.001450;-0.007996;-0.996170
53;-0.001251;-0.008652;-0.994629
54;-0.000916;-0.008469;-0.997787
55;-0.000916;-0.008575;-0.994812
56;-0.000916;-0.008881;-0.994690
57;-0.000748;-0.008179;-0.994446
58;-0.000717;-0.007736;-0.995895
59;-0.000351;-0.007843;-0.994507
60;-0.001251;-0.007919;-0.998032
61;-0.001526;-0.009064;-0.993332
62;-0.001144;-0.009491;-0.998352
63;-0.001160;-0.008865;-0.995117
64;-0.000824;-0.009171;-0.994385
65;-0.000366;-0.008987;-0.992996
66;-0.001297;-0.008286;-0.995621
67;-0.000061;-0.010025;-0.995514
68;-0.000229;-0.008530;-0.995590
69;-0.000351;-0.008362;-0.995728
70;-0.000656;-0.008453;-0.995178
71;-0.000351;-0.008286;-0.996170
72;-0.000702;-0.008591;-0.997055
73;-0.001190;-0.008011;-0.995087
74;-0.000992;-0.009506;-0.994324
75;-0.000595;-0.008423;-0.994690
76;-0.000626;-0.008835;-0.993149
77;-0.000687;-0.008469;-0.995972
78;-0.001144;-0.009705;-0.995621
79;-0.001053;-0.009308;-0.996094
80;-0.000290;-0.009918;-0.996872
81;-0.000168;-0.008087;-0.995514
82;-0.000458;-0.009018;-0.995438
83;-0.000977;-0.008209;-0.995560
84;-0.000809;-0.008499;-0.993240
85;-0.000671;-0.008850;-0.995392
86;-0.001282;-0.007965;-0.995499
87;-0.001144;-0.009109;-0.994507
88;-0.000809;-0.008408;-0.996216
89;-0.001144;-0.008530;-0.995499
90;-0.001266;-0.009460;-0.995132
91;-0.000977;-0.008606;-0.995651
92;-0.001404;-0.008881;-0.994904
93;-0.000748;-0.008698;-0.994461
94;-0.001389;-0.007996;-0.995651
95;-0.000793;-0.008560;-0.996597
96;-0.000961;-0.008804;-0.994293
97;-0.000290;-0.009476;-0.994827
98;-0.001236;-0.008682;-0.995102
99;-0.000412;-0.009171;-0.996185
100;-0.001694;-0.009796;-0.995560
101;-0.000977;-0.007919;-0.994339
102;-0.000122;-0.008621;-0.995041
103;-0.001175;-0.008530;-0.995636
104;-0.001404;-0.009125;-0.994644
105;-0.001007;-0.008728;-0.995255
106;-0.000992;-0.008820;-0.994675
107;-0.000473;-0.009613;-0.994034
108;-0.000900;-0.008972;-0.995926
