index;x;y;z
0;-0.000244;-0.017929;-0.995773
1;-0.000717;-0.017120;-0.995087
2;-0.001053;-0.018570;-0.994263
3;-0.001877;-0.018600;-0.995377
4;-0.000412;-0.018127;-0.995514
5;-0.001083;-0.017441;-0.995621
6;-0.001480;-0.018036;-0.996765
7;-0.001328;-0.018143;-0.994904
8;-0.001389;-0.018417;-0.995407
9;-0.000610;-0.018082;-0.994919
10;-0.001221;-0.017517;-0.994446
11;-0.001190;-0.017639;-0.995468
12;-0.000610;-0.017365;-0.996231
13;-0.001114;-0.018356;-0.995728
14;-0.000763;-0.017914;-0.994598
15;-0.001022;-0.019135;-0.995010
16;-0.001083;-0.017532;-0.994797
17;-0.001221;-0.018890;-0.995895
18;-0.001358;-0.017792;-0.996078
19;-0.000717;-0.018524;-0.996048
20;-0.001678;-0.018463;-0.996246
21;-0.001236;-0.017746;-0.994339
22;-0.000580;-0.018097;-0.995361
23;-0.001968;-0.017654;-0.995422
24;-0.001587;-0.018723;-0.994400
25;-0.000916;-0.018051;-0.995499
26;-0.001862;-0.016418;-0.993912
27;-0.001740;-0.017960;-0.995193
28;-0.000854;-0.018372;-0.994324
29;-0.001694;-0.018402;-0.996201
30;-0.000946;-0.018692;-0.995255
31;-0.001038;-0.017181;-0.994873
32;-0.001190;-0.018494;-0.994919
33;-0.000931;-0.019272;-0.994873
34;-0.001190;-0.018387;-0.995499
35;-0.001129;-0.018143;-0.994339
36;-0.000656;-0.018982;-0.995651
37;-0.000854;-0.018814;-0.996063
38;-0.001297;-0.018021;-0.994659
39;0.000015;-0.018097;-0.994705
40;-0.000381;-0.018478;-0.995209
41;-0.000870;-0.019852;-0.995911
42;-0.001831;-0.018661;-0.994781
43;-0.000702;-0.017197;-0.996063
44;-0.001633;-0.018097;-0.994919
45;-0.000931;-0.018463;-0.995499
46;-0.000900;-0.017822;-0.995239
47;-0.001572;-0.017960;-0.995148
48;-0.000916;-0.018173;-0.995361
49;-0.000885;-0.018631;-0.996063
50;-0.001312;-0.018372;-0.995651
51;-0.001358;-0.017624;-0.995010
52;-0.001404;-0.018326;-0.995850
53;-0.001083;-0.017181;-0.995087
54;-0.000854;-0.018097;-0.995819
55;-0.000839;-0.017822;-0.995590
56;-0.001312;-0.018555;-0.995850
57;-0.000626;-0.018021;-0.995316
58;-0.001343;-0.018173;-0.995804
59;-0.001587;-0.017975;-0.995605
60;-0.001007;-0.017746;-0.995712
61;-0.001221;-0.018341;-0.994965
62;-0.001129;-0.017761;-0.994141
63;-0.001190;-0.018387;-0.995651
64;-0.001251;-0.018219;-0.996307
65;-0.001175;-0.019379;-0.996292
66;-0.001236;-0.018082;-0.995544
67;-0.001175;-0.017609;-0.995331
68;-0.001236;-0.017853;-0.996033
69;-0.000626;-0.018433;-0.995682
70;-0.001450;-0.017700;-0.995728
71;-0.001648;-0.017883;-0.994278
72;-0.001190;-0.017975;-0.996017
73;-0.001419;-0.018921;-0.995804
74;-0.001389;-0.018600;-0.996429
75;-0.000778;-0.018250;-0.995667
76;-0.000778;-0.017822;-0.994919
77;-0.001373;-0.018753;-0.995926
78;-0.000931;-0.017853;-0.995438
79;-0.001266;-0.016830;-0.995667
80;-0.001404;-0.017731;-0.994232
81;-0.000916;-0.017578;-0.994385
82;-0.001450;-0.017502;-0.994659
83;-0.001450;-0.018509;-0.995239
84;-0.000275;-0.018143;-0.995972
85;-0.001450;-0.018616;-0.995850
86;-0.001251;-0.018066;-0.995377
87;-0.001404;-0.018753;-0.995239
88;-0.001434;-0.017212;-0.995193
89;-0.001343;-0.017670;-0.994339
90;-0.000870;-0.017456;-0.995193
91;-0.000504;-0.018433;-0.995377
92;-0.001556;-0.018082;-0.995392
93;-0.001404;-0.017654;-0.995026
94;-0.000824;-0.017242;-0.993942
95;-0.000443;-0.017578;-0.995789
96;-0.000824;-0.018204;-0.995544
97;-0.001419;-0.018906;-0.994965
98;-0.000763;-0.016891;-0.995544
99;-0.000641;-0.017242;-0.995682
100;-0.001404;-0.017761;-0.995560
101;-0.000854;-0.016907;-0.996323
102;-0.000610;-0.018417;-0.994644
103;-0.000366;-0.018738;-0.995346
104;-0.000870;-0.018387;-0.995743
105;-0.001694;-0.019043;-0.995132
106;-0.001785;-0.018677;-0.994827
107;-0.001205;-0.018585;-0.995041
108;-0.000885;-0.018311;-0.994705
109;-0.000671;-0.018707;-0.995193
110;-0.001114;-0.018265;-0.995132
111;0.000092;-0.018570;-0.995651
112;-0.000626;-0.018860;-0.994659
113;-0.001633;-0.018509;-0.995819
114;-0.001862;-0.018402;-0.995743
115;-0.000687;-0.017502;-0.994904
116;-0.000885;-0.019119;-0.995529
117;-0.001404;-0.018265;-0.994629
118;-0.001282;-0.018524;-0.996002
119;-0.000702;-0.019012;-0.995285
120;-0.000671;-0.017624;-0.996155
121;-0.001114;-0.018631;-0.994995
122;-0.001450;-0.018631;-0.995407
123;-0.001068;-0.018448;-0.995361
124;-0.001007;-0.017517;-0.994202
125;-0.001785;-0.017746;-0.995712
126;-0.000473;-0.018036;-0.995163
127;-0.001312;-0.018219;-0.995392
128;-0.001465;-0.017517;-0.994904
129;-0.001328;-0.016525;-0.994995
130;-0.001923;-0.018951;-0.995224
131;-0.000931;-0.018295;-0.995667
132;-0.001282;-0.018417;-0.996353
133;-0.000854;-0.018188;-0.996704
134;-0.000885;-0.018509;-0.996185
135;-0.000778;-0.017563;-0.995255
136;-0.000885;-0.018387;-0.994431
137;-0.001419;-0.017670;-0.995193
138;-0.000931;-0.017929;-0.994995
139;-0.000763;-0.017746;-0.995621
140;-0.001007;-0.017975;-0.995636
141;-0.001038;-0.018311;-0.995819
142;-0.001358;-0.018616;-0.995300
143;-0.000534;-0.017929;-0.995499
144;-0.000580;-0.018539;-0.996429
145;-0.000702;-0.018967;-0.994949
146;-0.000916;-0.018723;-0.995407
147;-0.001450;-0.018494;-0.996399
148;-0.001266;-0.017853;-0.995514
149;-0.000763;-0.019028;-0.995544
150;-0.001236;-0.018097;-0.994308
151;-0.000473;-0.018341;-0.995255
152;-0.001465;-0.017883;-0.995941
153;-0.001373;-0.017410;-0.994965
154;-0.000900;-0.017807;-0.994949
155;-0.001831;-0.017975;-0.995026
156;-0.000778;-0.018112;-0.995926
157;-0.001663;-0.018234;-0.996002
158;-0.001282;-0.018158;-0.994202
159;-0.000595;-0.018158;-0.994003
160;-0.000473;-0.017685;-0.995087
161;-0.000946;-0.018936;-0.995972
162;-0.000961;-0.018570;-0.995712
163;-0.000992;-0.018646;-0.995804
164;-0.001877;-0.018494;-0.995361
165;-0.000931;-0.017456;-0.995483
166;-0.001266;-0.017624;-0.995026
167;-0.001282;-0.018677;-0.995865
168;-0.001068;-0.018021;-0.993774
169;-0.000946;-0.017822;-0.995178
170;-0.000763;-0.018112;-0.994980
171;-0.001083;-0.018356;-0.995987
172;-0.001678;-0.018387;-0.996033
173;-0.000992;-0.017319;-0.995865
174;-0.001053;-0.017288;-0.995087
175;-0.001007;-0.018936;-0.995636
176;-0.001205;-0.017593;-0.993668
177;-0.001038;-0.018997;-0.996063
178;-0.001266;-0.019287;-0.996017
