index;x;y;z
0;-0.005142;-0.014404;-0.994858
1;-0.005585;-0.015564;-0.994995
2;-0.005600;-0.015182;-0.994843
3;-0.004974;-0.014801;-0.995514
4;-0.005386;-0.014816;-0.996643
5;-0.005814;-0.014145;-0.995041
6;-0.005035;-0.014252;-0.994690
7;-0.005356;-0.014984;-0.995438
8;-0.005966;-0.015518;-0.995972
9;-0.005966;-0.014633;-0.994461
10;-0.005783;-0.015060;-0.994247
11;-0.004974;-0.014786;-0.994919
12;-0.005463;-0.015305;-0.995193
13;-0.005768;-0.014511;-0.992935
14;-0.005219;-0.014572;-0.995987
15;-0.005936;-0.014160;-0.994446
16;-0.006454;-0.015732;-0.995224
17;-0.005569;-0.015244;-0.995438
18;-0.005264;-0.015381;-0.995316
19;-0.006393;-0.015564;-0.995193
20;-0.006516;-0.014221;-0.995621
21;-0.005569;-0.014587;-0.994507
22;-0.005981;-0.015045;-0.995483
23;-0.005753;-0.015930;-0.995255
24;-0.005310;-0.015060;-0.995483
25;-0.005234;-0.015213;-0.995758
26;-0.005127;-0.014633;-0.994568
27;-0.005524;-0.014709;-0.995041
28;-0.006805;-0.014709;-0.994400
29;-0.005615;-0.015411;-0.994766
30;-0.005722;-0.015152;-0.994659
31;-0.006073;-0.014709;-0.995621
32;-0.005615;-0.014511;-0.994507
33;-0.006348;-0.014008;-0.995087
34;-0.005737;-0.014984;-0.994583
35;-0.004837;-0.015335;-0.995529
36;-0.005722;-0.015350;-0.994904
37;-0.005707;-0.015411;-0.994781
38;-0.005417;-0.015121;-0.994919
39;-0.004868;-0.015701;-0.995392
40;-0.004776;-0.014771;-0.995193
41;-0.005783;-0.014801;-0.996201
42;-0.006409;-0.014954;-0.994766
43;-0.005615;-0.015213;-0.995270
44;-0.005493;-0.014389;-0.995956
45;-0.005615;-0.015396;-0.994278
46;-0.005646;-0.015244;-0.996292
47;-0.005600;-0.015091;-0.995163
48;-0.005478;-0.014709;-0.994003
49;-0.006241;-0.014923;-0.995529
50;-0.005798;-0.015045;-0.995041
51;-0.005234;-0.015625;-0.994995
52;-0.005844;-0.015564;-0.995468
53;-0.005157;-0.015152;-0.995361
54;-0.005234;-0.015045;-0.995560
55;-0.005447;-0.014618;-0.995697
56;-0.005722;-0.014587;-0.994629
57;-0.006195;-0.015671;-0.995300
58;-0.005463;-0.015015;-0.993362
59;-0.005249;-0.015045;-0.996643
60;-0.006119;-0.015106;-0.996338
61;-0.005478;-0.015350;-0.994308
62;-0.005615;-0.014328;-0.995468
63;-0.004822;-0.016159;-0.994965
64;-0.006027;-0.015060;-0.994904
65;-0.005157;-0.014526;-0.994858
66;-0.006744;-0.014404;-0.994705
67;-0.005524;-0.014816;-0.995834
68;-0.005127;-0.015564;-0.994980
69;-0.005020;-0.014755;-0.996170
70;-0.004639;-0.014465;-0.995438
71;-0.005310;-0.015030;-0.995758
72;-0.006165;-0.015076;-0.994339
73;-0.006180;-0.014694;-0.994598
74;-0.005493;-0.015503;-0.995041
75;-0.005554;-0.015793;-0.995361
76;-0.005371;-0.015045;-0.995331
77;-0.005875;-0.015182;-0.994720
78;-0.006531;-0.015549;-0.995972
79;-0.006516;-0.015198;-0.994553
80;-0.004639;-0.014725;-0.995010
81;-0.005035;-0.015137;-0.995361
