index;x;y;z
0;-0.000488;-0.017273;-0.993805
1;-0.002014;-0.017456;-0.995804
2;0.000381;-0.018295;-0.995667
3;-0.000427;-0.017487;-0.995773
4;-0.000839;-0.016846;-0.995361
5;-0.001373;-0.017776;-0.995850
6;-0.000931;-0.018158;-0.995163
7;-0.000961;-0.018219;-0.995087
8;-0.000778;-0.018066;-0.995789
9;-0.002121;-0.017914;-0.995239
10;-0.000153;-0.018112;-0.995682
11;-0.001450;-0.018005;-0.995514
12;-0.000198;-0.018372;-0.994751
13;-0.000153;-0.017273;-0.966171
14;-0.001724;-0.019775;-1.003174
15;-0.000397;-0.017487;-0.992737
16;-0.001114;-0.018112;-0.994598
17;-0.000687;-0.017792;-0.996017
18;-0.001099;-0.018158;-0.996536
19;-0.000183;-0.017319;-0.994766
20;-0.000671;-0.018707;-0.996597
21;0.001694;-0.018448;-0.992065
22;-0.002396;-0.016464;-1.034119
23;-0.001144;-0.018356;-0.998596
24;-0.001068;-0.018127;-0.997116
25;-0.001160;-0.017899;-0.995270
26;0.000610;-0.018707;-0.995438
27;-0.000885;-0.017822;-0.994003
28;-0.000824;-0.018051;-0.995789
29;-0.000534;-0.017792;-0.995239
30;-0.000046;-0.017883;-0.995560
31;-0.000488;-0.018082;-0.996323
32;0.000443;-0.019684;-0.969818
33;-0.001083;-0.019150;-1.005463
34;-0.000916;-0.017929;-0.990173
35;-0.000534;-0.017990;-0.995880
36;-0.001099;-0.017456;-0.995621
37;-0.001556;-0.018524;-0.994476
38;0.002289;-0.017578;-0.992447
39;-0.000244;-0.018600;-0.993927
40;-0.001114;-0.017426;-0.995880
41;-0.000626;-0.018677;-0.995728
42;-0.001358;-0.018188;-0.995438
43;-0.000961;-0.018600;-0.995605
44;-0.000336;-0.018127;-0.988525
45;-0.001129;-0.018188;-0.999619
46;-0.000656;-0.017731;-0.994583
47;-0.000763;-0.017593;-0.997131
48;-0.000565;-0.017838;-0.996765
49;-0.000809;-0.018250;-0.996643
50;0.003082;-0.021881;-1.071899
51;-0.000992;-0.016647;-0.987198
52;-0.001984;-0.017960;-0.996002
53;-0.000916;-0.017670;-0.995728
54;-0.000946;-0.018356;-0.996536
55;-0.001648;-0.017014;-0.995392
56;-0.001068;-0.019318;-0.995575
57;-0.001129;-0.017365;-0.994934
58;-0.001511;-0.018326;-0.996353
