"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",1.06354808388267,4.50239817299752,-8.04480983920243,10.0775261157713,1.00137703375591,8145,10980
"soundFact1",1.53674587591602,1.03947201311815,-0.451352127525566,3.6379108864301,1.00017315578033,8168,11984
"soundFact2",0.654391185129852,1.0575613005917,-1.37567308901527,2.77285436405002,1.00041661443712,8446,12004
"soundFact3",1.69593275697838,1.06381480881028,-0.324343498971561,3.85888420827116,1.00034018503984,7789,11268
"genusOxyuranus",-0.145331157012276,2.02908453978982,-4.07673945311156,3.88455222849848,1.0005998325235,7853,11146
"genusPseudonaja",-0.340944341220576,2.35500210782346,-5.00189745736105,4.31662781210941,1.00030513101928,7828,11639
"logAge",-0.959660092469716,1.80126192467929,-4.5766215733988,2.6748725673449,1.00105654604164,7917,10736
"soundFact1:genusOxyuranus",-0.21276005926624,1.27612497644105,-2.73277155446152,2.267644115139,1.00005912201611,9087,12753
"soundFact2:genusOxyuranus",1.28149257930453,1.29233620866789,-1.22855385008222,3.81547435488474,1.00025251567446,9107,12791
"soundFact3:genusOxyuranus",-0.340948893038364,1.31552593915094,-2.90571394459934,2.21240189295566,1.00026224277694,8600,13063
"soundFact1:genusPseudonaja",-1.27922152813251,1.49300765444868,-4.26255764808601,1.65012846836915,1.00034583968798,10254,13393
"soundFact2:genusPseudonaja",-0.637651565344063,1.50476279564974,-3.61074423583055,2.27705558503802,1.00042762987502,9731,13134
"soundFact3:genusPseudonaja",-1.02378493062199,1.51024105435322,-3.95697028715172,1.90826866988483,1.00041618032717,9447,12556
