"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",-0.170204682953191,1.62602619001717,-3.2254558957869,2.9383832459381,1.00111581031461,6233,4587
"soundFact1",1.65413649441464,0.820042604371597,0.0983080115941787,3.33026234481341,1.00034732809515,6224,9111
"soundFact2",1.70848686228355,0.823231904295992,0.139701414241704,3.3939543431416,1.00039527054014,6122,8898
"soundFact3",1.02544185671303,0.879653084063032,-0.671005966051886,2.80782907645423,1.00038356100478,6845,10060
"genusAspidites",2.03375121475939,0.99552987479073,0.115913503196932,4.01393038391406,1.00037210461717,6787,10889
"genusHoplocephalus",0.983567104678331,1.14153241644057,-1.29822657639946,3.22285380493733,1.00034334109691,7606,11205
"genusOxyuranus",0.563677023234151,0.980359122881282,-1.38331809222052,2.49692894681954,1.00020193611815,6434,9128
"genusPseudonaja",0.383089788747356,1.35076244074073,-2.47933574371954,2.87454423566035,1.00045703240889,7669,9554
"logAge",-1.24203087201389,0.500307808755986,-2.26121241054011,-0.286719528192816,1.00075802557598,13219,11028
"soundFact1:genusAspidites",-0.890694551771637,1.15426711510006,-3.14938511598971,1.36169033144202,1.00031306730541,8313,11172
"soundFact2:genusAspidites",-2.14541291434728,1.22543118520416,-4.59121386939309,0.214650364271191,1.0003266359264,8392,11890
"soundFact3:genusAspidites",-2.83989177170525,1.57278411104852,-6.23169275812921,-0.032378074002249,1.00004424097318,11231,13246
"soundFact1:genusHoplocephalus",-1.05991870075853,1.36451944458324,-3.69095655721015,1.63545758810929,1.00031700764306,9342,12356
"soundFact2:genusHoplocephalus",-1.74247429913944,1.43043812434444,-4.60290408792966,1.00195799513749,1.0003228317202,9184,13150
"soundFact3:genusHoplocephalus",-0.163967856624263,1.40360048782954,-2.88533237484836,2.60187183936296,1.00034257000171,9091,12574
"soundFact1:genusOxyuranus",-0.450828494022751,1.13703960611528,-2.70557466035949,1.80707181318276,1.00013328790616,7566,11388
"soundFact2:genusOxyuranus",-0.109059257280784,1.10955907361774,-2.29052972093982,2.0734521743467,1.0000511344756,6975,9831
"soundFact3:genusOxyuranus",0.294648977418864,1.17334907866106,-1.98860991276103,2.61683414898279,1.00008751402412,7873,11060
"soundFact1:genusPseudonaja",-0.609226196640769,1.55510851897934,-3.5348561950019,2.57064588081181,1.00007184487864,9342,10563
"soundFact2:genusPseudonaja",0.166371831368241,1.50668651088316,-2.69943397224024,3.2235894052326,1.00022260778031,8906,10827
"soundFact3:genusPseudonaja",-0.893013175200072,1.79125881119209,-4.4801047638517,2.54187321055566,1.00007783502746,10036,12216
