"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",4.64276634368585,3.25553414631025,-1.75329719828341,11.1563904203533,1.00057190337742,8434,8369
"soundFact1",0.249237970244801,0.753156901536253,-1.22702058475284,1.73632273360286,1.00029049867704,8872,12622
"soundFact2",0.261935640180498,0.757223777089194,-1.22770475315408,1.74687626475548,1.00049618156693,9018,12240
"soundFact3",-0.795179300069029,0.887600720197345,-2.58953920853551,0.884936331503724,1.0002133741053,8777,13103
"genusAspidites",1.80345515983099,1.69195206732953,-1.69987468607817,5.02945255591323,1.00036755461026,7760,10777
"genusHoplocephalus",2.22524573797492,2.01272111960687,-1.73348092735782,6.2505830521402,1.00006559970808,9909,12065
"genusOxyuranus",4.39130140309575,1.57771178142991,1.27395980459313,7.50872479119093,1.00004951653971,7387,10938
"genusPseudonaja",2.95800973952313,1.95838936802242,-1.14413931401839,6.64960494222875,1.00011157643817,7660,10604
"logAge",-3.13348177797138,1.48950922902527,-6.12826705171414,-0.207564456567465,1.00032445500241,9743,11664
"soundFact1:genusAspidites",2.78475966117456,1.40801558950997,0.131874488972105,5.62177723282964,1.00012852515037,12556,15036
"soundFact2:genusAspidites",2.24945666433498,1.33775063941132,-0.253220884921712,4.96621284486649,1.00041843893237,12149,14671
"soundFact3:genusAspidites",4.72532360362498,1.65495335432332,1.72100870030285,8.20712143745281,1.00008729076372,13504,13868
"soundFact1:genusHoplocephalus",0.915319220384633,1.58342517752852,-2.14906220512174,4.10710758167563,1.00011009743724,13995,14722
"soundFact2:genusHoplocephalus",-0.530977940485943,1.582733808902,-3.67842273545658,2.54220242402124,1.0003207910464,13627,13476
"soundFact3:genusHoplocephalus",1.86283263694123,1.63823736317029,-1.24082949988614,5.15615612205638,1.00034788127889,12769,15097
"soundFact1:genusOxyuranus",-0.25801494525076,1.16100952528907,-2.54844256039861,2.04855098975422,1.00037537624616,11138,13740
"soundFact2:genusOxyuranus",0.802889468023758,1.20998803200281,-1.53626337523428,3.19942864927185,1.00038895072649,11355,13784
"soundFact3:genusOxyuranus",0.791563063233138,1.24506043674705,-1.60542532739237,3.29285659489159,1.00025831267333,10460,14441
"soundFact1:genusPseudonaja",-0.780044354040993,1.23349319318509,-3.23199481756532,1.62553716530168,1.00006994900203,11256,12999
"soundFact2:genusPseudonaja",-0.792513530106359,1.27247061978252,-3.32425968845124,1.68671031815934,1.00041871070568,11598,13306
"soundFact3:genusPseudonaja",0.245812315268924,1.35080859327258,-2.38748795056682,2.89071038648257,1.00007438018496,11326,13437
